"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\Gianm\Desktop\MERN-project0\api\app.js", "JavaScript", 0, 11, 3, 6, 20
"c:\Users\Gianm\Desktop\MERN-project0\api\routers\userRouter.js", "JavaScript", 0, 36, 0, 10, 46
"c:\Users\Gianm\Desktop\MERN-project0\api\utils\AppError.js", "JavaScript", 0, 11, 2, 6, 19
"c:\Users\Gianm\Desktop\MERN-project0\api\utils\globalErrorHandler.js", "JavaScript", 0, 27, 6, 7, 40
"c:\Users\Gianm\Desktop\MERN-project0\api\utils\sendEmail.js", "JavaScript", 0, 25, 1, 6, 32
"c:\Users\Gianm\Desktop\MERN-project0\controllers\authController.js", "JavaScript", 0, 212, 6, 33, 251
"c:\Users\Gianm\Desktop\MERN-project0\controllers\userController.js", "JavaScript", 0, 51, 3, 10, 64
"c:\Users\Gianm\Desktop\MERN-project0\models\userModel.js", "JavaScript", 0, 77, 3, 10, 90
"c:\Users\Gianm\Desktop\MERN-project0\package-lock.json", "JSON", 1992, 0, 0, 1, 1993
"c:\Users\Gianm\Desktop\MERN-project0\package.json", "JSON", 30, 0, 0, 1, 31
"c:\Users\Gianm\Desktop\MERN-project0\server.js", "JavaScript", 0, 27, 0, 7, 34
"Total", "-", 2022, 477, 24, 97, 2620
